"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-01","0.00",,"52","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-02","0.00",,"44","34"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-03","0.00",,"41","30"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-04","0.00",,"36","28"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-05","0.00",,"36","28"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-06","0.06",,"31","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-07","0.00",,"35","19"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-08","0.00",,"32","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-09","0.00",,"36","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-10","0.00",,"42","27"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-11","0.02",,"38","28"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-12","0.00",,"46","30"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-13","0.00",,"44","29"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-14","0.00",,"35","25"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-15","0.00",,"35","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-16","0.00",,"32","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-17","0.00",,"45","23"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-18","0.04",,"47","32"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-19","0.22",,"40","24"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-20","0.00",,"28","16"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-21","0.00",,"20","7"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-22","0.00",,"22","8"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-23","0.00",,"29","13"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-24","0.00",,"34","15"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-25","0.00",,"33","14"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-26","0.00",,"45","28"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-27","0.00",,"43","25"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-28","0.00",,"45","33"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-29","0.00",,"54","32"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-30","0.00",,"39","26"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-01-31","0.13",,"47","34"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-01","0.00",,"47","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-02","0.06",,"33","17"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-03","0.00",,"50","26"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-04","0.00",,"48","32"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-05","0.00",,"39","28"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-06","0.38",,"40","32"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-07","0.00",,"46","29"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-08","0.59",,"35","26"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-09","0.05",,"36","30"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-10","0.00",,"39","30"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-11","0.10",,"36","24"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-12","0.09",,"37","30"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-13","0.24",,"47","36"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-14","0.00",,"39","30"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-15","0.44",,"37","26"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-16","0.85",,"47","34"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-17","0.00",,"38","27"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-18","0.00",,"30","20"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-19","0.00",,"34","17"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-20","0.00",,"31","19"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-21","0.00",,"37","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-22","0.00",,"43","21"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-23","0.00",,"50","30"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-24","0.00",,"52","34"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-25","0.00",,"58","42"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-26","0.00",,"59","38"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-27","0.01",,"55","46"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-02-28","0.00",,"53","39"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-01","0.00",,"65","28"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-02","0.00",,"37","21"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-03","0.00",,"41","22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-04","0.00",,"59","28"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-05","1.53",,"61","41"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-06","0.00",,"57","37"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-07","0.00",,"53","35"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-08","0.00",,"48","36"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-09","0.00",,"56","28"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-10","0.00",,"69","39"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-11","0.00",,"67","44"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-12","0.00",,"54","45"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-13","0.00",,"52","41"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-14","0.00",,"55","42"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-15","0.00",,"48","42"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-16","0.00",,"70","47"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-17","0.75",,"64","38"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-18","0.00",,"64","35"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-19","0.00",,"62","43"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-20","0.96",,"51","43"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-21","0.01",,"54","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-22","0.00",,"65","36"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-23","0.00",,"51","32"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-24","0.47",,"51","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-25","0.00",,"60","45"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-26","0.00",,"53","38"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-27","0.00",,"54","34"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-28","0.00",,"67","43"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-29","0.02",,"85","45"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-30","0.05",,"51","45"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-03-31","0.79",,"80","47"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-01","0.08",,"61","42"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-02","0.01",,"48","36"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-03","0.06",,"75","45"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-04","0.07",,"73","59"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-05","0.21",,"60","45"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-06","0.19",,"59","45"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-07","0.17",,"51","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-08","0.00",,"49","35"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-09","0.00",,"50","32"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-10","0.01",,"51","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-11","0.52",,"48","43"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-12","0.50",,"43","36"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-13","0.00",,"60","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-14","0.03",,"68","43"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-15","0.00",,"72","50"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-16","0.00",,"53","46"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-17","0.00",,"66","43"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-18","0.00",,"71","41"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-19","0.00",,"87","58"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-20","0.00",,"73","52"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-21","0.00",,"57","48"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-22","0.00",,"83","51"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-23","0.00",,"76","56"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-24","0.00",,"78","54"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-04-25","0.00",,"79","55"
