station,name,date,prcp,tavg,tmax,tmin
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-01,0.0,46.0,52,40
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-02,0.0,39.0,44,34
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-03,0.0,35.5,41,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-04,0.0,32.0,36,28
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-05,0.0,32.0,36,28
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-06,0.06,26.5,31,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-07,0.0,27.0,35,19
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-08,0.0,27.0,32,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-09,0.0,29.0,36,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-10,0.0,34.5,42,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-11,0.02,33.0,38,28
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-12,0.0,38.0,46,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-13,0.0,36.5,44,29
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-14,0.0,30.0,35,25
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-15,0.0,28.5,35,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-16,0.0,27.0,32,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-17,0.0,34.0,45,23
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-18,0.04,39.5,47,32
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-19,0.22,32.0,40,24
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-20,0.0,22.0,28,16
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-21,0.0,13.5,20,7
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-22,0.0,15.0,22,8
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-23,0.0,21.0,29,13
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-24,0.0,24.5,34,15
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-25,0.0,23.5,33,14
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-01-26,0.0,36.5,45,28
