date,demand,forecast,generation,interchange
2025-01-01,2123147,2167393.0,2248981,125836.0
2025-01-02,2429622,2380864.0,2514956,85455.0
2025-01-03,2561472,2486806.0,2624020,62678.0
2025-01-04,2608075,2527899.0,2691863,83967.0
2025-01-05,2603022,2534719.0,2641665,38821.0
2025-01-06,2711147,2663150.0,2816033,104994.0
2025-01-07,2773721,2716278.0,2881355,107723.0
2025-01-08,2808958,2767284.0,2869667,60862.0
2025-01-09,2845051,2775504.0,2945887,100997.0
2025-01-10,2772867,2744156.0,2881873,109165.0
2025-01-11,2552241,2538031.0,2609850,57748.0
2025-01-12,2477150,2464506.0,2561825,84761.0
2025-01-13,2601115,2577975.0,2712159,111130.0
2025-01-14,2755724,2766477.0,2876057,120432.0
2025-01-15,2870586,2832593.0,2912220,41803.0
2025-01-16,2811861,2745441.0,2879589,67874.0
2025-01-17,2532000,2564818.0,2642513,110652.0
2025-01-18,2406611,2323923.0,2508037,101560.0
2025-01-19,2503360,2445223.0,2672406,169225.0
2025-01-20,2913765,2936616.0,3068950,155409.0
2025-01-21,3173821,3025910.0,3358037,184440.0
2025-01-22,3177791,3027902.0,3324234,146623.0
2025-01-23,3016433,2871676.0,3157917,141693.0
2025-01-24,2843832,2854499.0,2952253,108647.0
2025-01-25,2656729,2663662.0,2712917,56328.0
2025-01-26,2433349,2486823.0,2492553,59343.0
2025-01-27,2545906,2561691.0,2588115,42358.0
2025-01-28,2438694,2563012.0,2520270,81756.0
2025-01-29,2354071,2426810.0,2468715,114819.0
2025-01-30,2395294,2417677.0,2466221,71060.0
2025-01-31,2299201,2265484.0,2378202,79128.0
2025-02-01,2227042,2231467.0,2303195,76238.0
2025-02-02,2399463,2307177.0,2476557,77176.0
2025-02-03,2330685,2262216.0,2399542,68955.0
2025-02-04,2271786,2290909.0,2370680,98999.0
2025-02-05,2485245,2519457.0,2540771,55691.0
2025-02-06,2468104,2387820.0,2512121,44150.0
2025-02-07,2345794,2355859.0,2442304,96671.0
2025-02-08,2402446,2362142.0,2428525,26208.0
2025-02-09,2314573,2271361.0,2368116,53709.0
2025-02-10,2451772,2461041.0,2511718,60109.0
2025-02-11,2628043,2569663.0,2689638,61805.0
2025-02-12,2616219,2565924.0,2708207,92196.0
2025-02-13,2510468,2426971.0,2634926,124634.0
2025-02-14,2547335,2510205.0,2657470,110296.0
2025-02-15,2410876,2340699.0,2494942,84270.0
2025-02-16,2306996,2177688.0,2450195,143257.0
2025-02-17,2604524,2582122.0,2769192,164668.0
2025-02-18,2775123,2789905.0,2949222,174163.0
2025-02-19,2915460,2865388.0,3062634,147334.0
2025-02-20,2904628,2852861.0,3076813,172395.0
2025-02-21,2762182,2741041.0,2963640,201687.0
2025-02-22,2517917,2497378.0,2636217,118502.0
2025-02-23,2306257,2343909.0,2414102,107976.0
2025-02-24,2320147,2319112.0,2399220,79243.0
2025-02-25,2198939,2202889.0,2291908,93114.0
2025-02-26,2192810,2139676.0,2251104,58447.0
2025-02-27,2179113,2103507.0,2248553,69596.0
2025-02-28,2156169,2116329.0,2211063,55047.0
2025-03-01,2110785,2130196.0,2206107,95343.0
2025-03-02,2360071,2354630.0,2402257,42187.0
2025-03-03,2450966,2457583.0,2529065,78100.0
2025-03-04,2239506,2260109.0,2352268,112760.0
2025-03-05,2151458,2111673.0,2269269,117835.0
2025-03-06,2327328,2227271.0,2434042,106708.0
2025-03-07,2312377,2276971.0,2363679,51318.0
2025-03-08,2114844,2136744.0,2191789,76944.0
2025-03-09,1988500,1966092.0,2070385,81886.0
2025-03-10,2110013,2070051.0,2202222,92212.0
2025-03-11,2059456,2017072.0,2177089,117631.0
2025-03-12,2023142,2002479.0,2187897,164755.0
2025-03-13,2071881,2024130.0,2141877,69996.0
2025-03-14,2061081,1995777.0,2144113,83028.0
2025-03-15,1921766,1838741.0,2018822,97055.0
2025-03-16,1878085,1838945.0,1981411,103323.0
2025-03-17,2075907,2044663.0,2163920,88011.0
2025-03-18,2107491,2053618.0,2224486,116997.0
2025-03-19,2022675,1974466.0,2138772,116095.0
2025-03-20,2036855,2008705.0,2177801,140947.0
2025-03-21,2070735,2031166.0,2186861,116111.0
2025-03-22,1943508,1926711.0,2065077,121568.0
2025-03-23,1975634,1945653.0,2074653,99022.0
2025-03-24,2106705,2077379.0,2205749,99044.0
2025-03-25,2056408,2066380.0,2155006,98595.0
2025-03-26,2121989,2112721.0,2204998,83010.0
2025-03-27,2119140,2117847.0,2199565,80422.0
2025-03-28,2009743,1989813.0,2111342,101604.0
2025-03-29,1835868,1844291.0,1982144,146273.0
2025-03-30,1824487,1799637.0,1965871,141387.0
2025-03-31,2005278,1987360.0,2124991,119709.0
2025-04-01,1991443,2033767.0,2091413,99968.0
2025-04-02,2078581,2022665.0,2230364,151784.0
2025-04-03,2018568,2023169.0,2169421,150852.0
2025-04-04,1989560,1941177.0,2179461,189897.0
2025-04-05,1892491,1822164.0,2018366,125875.0
2025-04-06,1909061,1865649.0,1997254,88198.0
2025-04-07,2125097,2081983.0,2179288,54192.0
2025-04-08,2169265,2191957.0,2168579,-688.0
2025-04-09,2182722,2177518.0,2211731,29007.0
2025-04-10,2118948,2098521.0,2136744,17798.0
2025-04-11,2142915,2076346.0,2144251,1335.0
2025-04-12,2018611,1965936.0,2004302,-14307.0
2025-04-13,1895585,1878679.0,1928799,33213.0
2025-04-14,1977394,1960218.0,1998585,21191.0
2025-04-15,1969038,1960075.0,1976730,7692.0
2025-04-16,2013551,2004033.0,2017700,4149.0
2025-04-17,1988774,1997485.0,2026164,37391.0
2025-04-18,1908963,1938153.0,2004530,95567.0
2025-04-19,1860314,1866940.0,1913124,52808.0
2025-04-20,1784171,1807591.0,1873052,88876.0
2025-04-21,1944658,1938994.0,2018898,74235.0
2025-04-22,1972644,1960511.0,1980216,7572.0
2025-04-23,1966554,1942673.0,2006595,40041.0
2025-04-24,1989232,1961297.0,1995481,6251.0
2025-04-25,1971678,1927140.0,1982702,11020.0
2025-04-26,1855708,1777237.0,1896224,40512.0
2025-04-27,1742725,1733437.0,1798094,55368.0
2025-04-28,1942538,1890624.0,1994953,52416.0
2025-04-29,2023761,2013028.0,2077287,53523.0
2025-04-30,2038838,2020307.0,2083161,44316.0
2025-05-01,2054526,2024215.0,2133015,78488.0
2025-05-02,2096756,2074432.0,2136586,39825.0
2025-05-03,1955815,1947739.0,2016104,60292.0
2025-05-04,1886444,1824554.0,1968204,81762.0
2025-05-05,2002800,1946936.0,2058841,56028.0
2025-05-06,1987501,1948739.0,2055826,68303.0
2025-05-07,1983142,1948639.0,2096415,113276.0
2025-05-08,2022863,1953599.0,2128444,105580.0
2025-05-09,1939256,1898400.0,2074333,135074.0
