date,demand,forecast,forecast_error,forecast_error_pct,tavg,tmax,tmin,temp_category,temperature_stress,demand_per_stress_degree
2025-01-01,2123147,2167393.0,-44246.0,-2.084,46.0,52,40,Cold,19.0,111744.5789
2025-01-02,2429622,2380864.0,48758.0,2.0068,39.0,44,34,Cold,26.0,93447.0
2025-01-03,2561472,2486806.0,74666.0,2.915,35.5,41,30,Cold,29.5,86829.5593
2025-01-04,2608075,2527899.0,80176.0,3.0741,32.0,36,28,Cold,33.0,79032.5758
2025-01-05,2603022,2534719.0,68303.0,2.624,32.0,36,28,Cold,33.0,78879.4545
2025-01-06,2711147,2663150.0,47997.0,1.7704,26.5,31,22,Very Cold,38.5,70419.4026
2025-01-07,2773721,2716278.0,57443.0,2.071,27.0,35,19,Very Cold,38.0,72992.6579
2025-01-08,2808958,2767284.0,41674.0,1.4836,27.0,32,22,Very Cold,38.0,73919.9474
2025-01-09,2845051,2775504.0,69547.0,2.4445,29.0,36,22,Very Cold,36.0,79029.1944
2025-01-10,2772867,2744156.0,28711.0,1.0354,34.5,42,27,Cold,30.5,90913.6721
2025-01-11,2552241,2538031.0,14210.0,0.5568,33.0,38,28,Cold,32.0,79757.5312
2025-01-12,2477150,2464506.0,12644.0,0.5104,38.0,46,30,Cold,27.0,91746.2963
2025-01-13,2601115,2577975.0,23140.0,0.8896,36.5,44,29,Cold,28.5,91267.193
2025-01-14,2755724,2766477.0,-10753.0,-0.3902,30.0,35,25,Very Cold,35.0,78734.9714
2025-01-15,2870586,2832593.0,37993.0,1.3235,28.5,35,22,Very Cold,36.5,78646.1918
2025-01-16,2811861,2745441.0,66420.0,2.3621,27.0,32,22,Very Cold,38.0,73996.3421
2025-01-17,2532000,2564818.0,-32818.0,-1.2961,34.0,45,23,Cold,31.0,81677.4194
2025-01-18,2406611,2323923.0,82688.0,3.4359,39.5,47,32,Cold,25.5,94376.902
2025-01-19,2503360,2445223.0,58137.0,2.3224,32.0,40,24,Cold,33.0,75859.3939
2025-01-20,2913765,2936616.0,-22851.0,-0.7842,22.0,28,16,Very Cold,43.0,67761.9767
2025-01-21,3173821,3025910.0,147911.0,4.6603,13.5,20,7,Very Cold,51.5,61627.5922
2025-01-22,3177791,3027902.0,149889.0,4.7168,15.0,22,8,Very Cold,50.0,63555.82
2025-01-23,3016433,2871676.0,144757.0,4.7989,21.0,29,13,Very Cold,44.0,68555.2955
2025-01-24,2843832,2854499.0,-10667.0,-0.3751,24.5,34,15,Very Cold,40.5,70218.0741
2025-01-25,2656729,2663662.0,-6933.0,-0.261,23.5,33,14,Very Cold,41.5,64017.5663
2025-01-26,2433349,2486823.0,-53474.0,-2.1975,36.5,45,28,Cold,28.5,85380.6667
2025-01-27,2545906,2561691.0,-15785.0,-0.62,34.0,43,25,Cold,31.0,82126.0
2025-01-28,2438694,2563012.0,-124318.0,-5.0977,39.0,45,33,Cold,26.0,93795.9231
2025-01-29,2354071,2426810.0,-72739.0,-3.0899,43.0,54,32,Cold,22.0,107003.2273
2025-01-30,2395294,2417677.0,-22383.0,-0.9345,32.5,39,26,Cold,32.5,73701.3538
2025-01-31,2299201,2265484.0,33717.0,1.4665,40.5,47,34,Cold,24.5,93844.9388
2025-02-01,2227042,2231467.0,-4425.0,-0.1987,34.5,47,22,Cold,30.5,73017.7705
2025-02-02,2399463,2307177.0,92286.0,3.8461,25.0,33,17,Very Cold,40.0,59986.575
2025-02-03,2330685,2262216.0,68469.0,2.9377,38.0,50,26,Cold,27.0,86321.6667
2025-02-04,2271786,2290909.0,-19123.0,-0.8418,40.0,48,32,Cold,25.0,90871.44
2025-02-05,2485245,2519457.0,-34212.0,-1.3766,33.5,39,28,Cold,31.5,78896.6667
2025-02-06,2468104,2387820.0,80284.0,3.2529,36.0,40,32,Cold,29.0,85107.0345
2025-02-07,2345794,2355859.0,-10065.0,-0.4291,37.5,46,29,Cold,27.5,85301.6
2025-02-08,2402446,2362142.0,40304.0,1.6776,30.5,35,26,Very Cold,34.5,69636.1159
2025-02-09,2314573,2271361.0,43212.0,1.867,33.0,36,30,Cold,32.0,72330.4062
2025-02-10,2451772,2461041.0,-9269.0,-0.3781,34.5,39,30,Cold,30.5,80385.9672
2025-02-11,2628043,2569663.0,58380.0,2.2214,30.0,36,24,Very Cold,35.0,75086.9429
2025-02-12,2616219,2565924.0,50295.0,1.9224,33.5,37,30,Cold,31.5,83054.5714
2025-02-13,2510468,2426971.0,83497.0,3.326,41.5,47,36,Cold,23.5,106828.4255
2025-02-14,2547335,2510205.0,37130.0,1.4576,34.5,39,30,Cold,30.5,83519.1803
2025-02-15,2410876,2340699.0,70177.0,2.9109,31.5,37,26,Very Cold,33.5,71966.4478
2025-02-16,2306996,2177688.0,129308.0,5.605,40.5,47,34,Cold,24.5,94163.102
2025-02-17,2604524,2582122.0,22402.0,0.8601,32.5,38,27,Cold,32.5,80139.2
2025-02-18,2775123,2789905.0,-14782.0,-0.5327,25.0,30,20,Very Cold,40.0,69378.075
2025-02-19,2915460,2865388.0,50072.0,1.7175,25.5,34,17,Very Cold,39.5,73809.1139
2025-02-20,2904628,2852861.0,51767.0,1.7822,25.0,31,19,Very Cold,40.0,72615.7
2025-02-21,2762182,2741041.0,21141.0,0.7654,29.5,37,22,Very Cold,35.5,77807.9437
2025-02-22,2517917,2497378.0,20539.0,0.8157,32.0,43,21,Cold,33.0,76300.5152
2025-02-23,2306257,2343909.0,-37652.0,-1.6326,40.0,50,30,Cold,25.0,92250.28
2025-02-24,2320147,2319112.0,1035.0,0.0446,43.0,52,34,Cold,22.0,105461.2273
2025-02-25,2198939,2202889.0,-3950.0,-0.1796,50.0,58,42,Mild,15.0,146595.9333
2025-02-26,2192810,2139676.0,53134.0,2.4231,48.5,59,38,Cold,16.5,132897.5758
2025-02-27,2179113,2103507.0,75606.0,3.4696,50.5,55,46,Mild,14.5,150283.6552
2025-02-28,2156169,2116329.0,39840.0,1.8477,46.0,53,39,Cold,19.0,113482.5789
2025-03-01,2110785,2130196.0,-19411.0,-0.9196,46.5,65,28,Cold,18.5,114096.4865
2025-03-02,2360071,2354630.0,5441.0,0.2305,29.0,37,21,Very Cold,36.0,65557.5278
2025-03-03,2450966,2457583.0,-6617.0,-0.27,31.5,41,22,Very Cold,33.5,73163.1642
2025-03-04,2239506,2260109.0,-20603.0,-0.92,43.5,59,28,Cold,21.5,104163.0698
2025-03-05,2151458,2111673.0,39785.0,1.8492,51.0,61,41,Mild,14.0,153675.5714
2025-03-06,2327328,2227271.0,100057.0,4.2992,47.0,57,37,Cold,18.0,129296.0
2025-03-07,2312377,2276971.0,35406.0,1.5312,44.0,53,35,Cold,21.0,110113.1905
2025-03-08,2114844,2136744.0,-21900.0,-1.0355,42.0,48,36,Cold,23.0,91949.7391
